animal-reptile		
№	Code	Browser
593	1F40A	🐊
594	1F422	🐢
595	1F98E	🦎
596	1F40D	🐍
597	1F432	🐲
598	1F409	🐉
599	1F995	🦕
600	1F996	🦖
animal-marine		
№	Code	Browser
601	1F433	🐳
602	1F40B	🐋
603	1F42C	🐬
604	1F9AD	🦭
605	1F41F	🐟
606	1F420	🐠
607	1F421	🐡
608	1F988	🦈
609	1F419	🐙
610	1F41A	🐚
animal-bug		
№	Code	Browser
611	1F40C	🐌
612	1F98B	🦋
613	1F41B	🐛
614	1F41C	🐜
615	1F41D	🐝
616	1FAB2	🪲
617	1F41E	🐞
618	1F997	🦗
619	1FAB3	🪳
620	1F577	🕷
621	1F578	🕸
622	1F982	🦂
623	1F99F	🦟
624	1FAB0	🪰
625	1FAB1	🪱
626	1F9A0	🦠
plant-flower		
№	Code	Browser
627	1F490	💐
628	1F338	🌸
629	1F4AE	💮
630	1F3F5	🏵
631	1F339	🌹
632	1F940	🥀
633	1F33A	🌺
634	1F33B	🌻
635	1F33C	🌼
636	1F337	🌷
plant-other		
№	Code	Browser
637	1F331	🌱
638	1FAB4	🪴
639	1F332	🌲
640	1F333	🌳
641	1F334	🌴
642	1F335	🌵
643	1F33E	🌾
644	1F33F	🌿
645	2618	☘
646	1F340	🍀
647	1F341	🍁
648	1F342	🍂
649	1F343	🍃
Food & Drink		
food-fruit		
№	Code	Browser
650	1F347	🍇
651	1F348	🍈
652	1F349	🍉
653	1F34A	🍊
654	1F34B	🍋
655	1F34C	🍌
656	1F34D	🍍
657	1F96D	🥭
658	1F34E	🍎
659	1F34F	🍏
660	1F350	🍐
661	1F351	🍑
662	1F352	🍒
663	1F353	🍓
664	1FAD0	🫐
665	1F95D	🥝
666	1F345	🍅
667	1FAD2	🫒
668	1F965	🥥
food-vegetable		
№	Code	Browser
669	1F951	🥑
670	1F346	🍆
671	1F954	🥔
672	1F955	🥕
673	1F33D	🌽
674	1F336	🌶
675	1FAD1	🫑
676	1F952	🥒
677	1F96C	🥬
678	1F966	🥦
679	1F9C4	🧄
680	1F9C5	🧅
681	1F344	🍄
682	1F95C	🥜
683	1F330	🌰
food-prepared		
№	Code	Browser
684	1F35E	🍞
685	1F950	🥐
686	1F956	🥖
687	1FAD3	🫓
688	1F968	🥨
689	1F96F	🥯
690	1F95E	🥞
691	1F9C7	🧇
692	1F9C0	🧀
693	1F356	🍖
694	1F357	🍗
695	1F969	🥩
696	1F953	🥓
697	1F354	🍔
698	1F35F	🍟
699	1F355	🍕
700	1F32D	🌭
701	1F96A	🥪
702	1F32E	🌮
703	1F32F	🌯
№	Code	Browser
704	1FAD4	🫔
705	1F959	🥙
706	1F9C6	🧆
707	1F95A	🥚
708	1F373	🍳
709	1F958	🥘
710	1F372	🍲
711	1FAD5	🫕
712	1F963	🥣
713	1F957	🥗
714	1F37F	🍿
715	1F9C8	🧈
716	1F9C2	🧂
717	1F96B	🥫
food-asian		
№	Code	Browser
718	1F371	🍱
719	1F358	🍘
720	1F359	🍙
721	1F35A	🍚
722	1F35B	🍛
723	1F35C	🍜
724	1F35D	🍝
725	1F360	🍠
726	1F362	🍢
727	1F363	🍣
728	1F364	🍤
729	1F365	🍥
730	1F96E	🥮
731	1F361	🍡
732	1F95F	🥟
733	1F960	🥠
734	1F961	🥡
food-marine		
№	Code	Browser
735	1F980	🦀
736	1F99E	🦞
737	1F990	🦐
738	1F991	🦑
739	1F9AA	🦪
food-sweet		
№	Code	Browser
740	1F366	🍦
741	1F367	🍧
742	1F368	🍨
743	1F369	🍩
744	1F36A	🍪
745	1F382	🎂
746	1F370	🍰
747	1F9C1	🧁
748	1F967	🥧
749	1F36B	🍫
750	1F36C	🍬
751	1F36D	🍭
752	1F36E	🍮
753	1F36F	🍯
drink		
№	Code	Browser
754	1F37C	🍼
755	1F95B	🥛
756	2615	☕
757	1FAD6	🫖
758	1F375	🍵
759	1F376	🍶
760	1F37E	🍾
761	1F377	🍷
762	1F378	🍸
763	1F379	🍹
764	1F37A	🍺
765	1F37B	🍻
766	1F942	🥂
767	1F943	🥃
768	1F964	🥤
769	1F9CB	🧋
770	1F9C3	🧃
771	1F9C9	🧉
772	1F9CA	🧊
dishware		
№	Code	Browser
773	1F962	🥢
774	1F37D	🍽
775	1F374	🍴
776	1F944	🥄
777	1F52A	🔪
778	1F3FA	🏺
Travel & Places		
place-map		
№	Code	Browser
779	1F30D	🌍
780	1F30E	🌎
781	1F30F	🌏
782	1F310	🌐
783	1F5FA	🗺
784	1F5FE	🗾
785	1F9ED	🧭
place-geographic		
№	Code	Browser
786	1F3D4	🏔
787	26F0	⛰
788	1F30B	🌋
789	1F5FB	🗻
790	1F3D5	🏕
791	1F3D6	🏖
792	1F3DC	🏜
793	1F3DD	🏝
794	1F3DE	🏞
place-building		
№	Code	Browser
795	1F3DF	🏟
796	1F3DB	🏛
797	1F3D7	🏗
798	1F9F1	🧱
799	1FAA8	🪨
800	1FAB5	🪵
801	1F6D6	🛖
802	1F3D8	🏘
803	1F3DA	🏚
804	1F3E0	🏠
805	1F3E1	🏡
806	1F3E2	🏢
807	1F3E3	🏣
808	1F3E4	🏤
809	1F3E5	🏥
810	1F3E6	🏦
811	1F3E8	🏨
812	1F3E9	🏩
813	1F3EA	🏪
814	1F3EB	🏫
№	Code	Browser
815	1F3EC	🏬
816	1F3ED	🏭
817	1F3EF	🏯
818	1F3F0	🏰
819	1F492	💒
820	1F5FC	🗼
821	1F5FD	🗽
place-religious		
№	Code	Browser
822	26EA	⛪
823	1F54C	🕌
824	1F6D5	🛕
825	1F54D	🕍
826	2.60E+10	⛩
827	1F54B	🕋
place-other		
№	Code	Browser
828	26F2	⛲
829	26FA	⛺
830	1F301	🌁
831	1F303	🌃
832	1F3D9	🏙
833	1F304	🌄
834	1F305	🌅
835	1F306	🌆
836	1F307	🌇
837	1F309	🌉
838	2668	♨
839	1F3A0	🎠
840	1F3A1	🎡
841	1F3A2	🎢
842	1F488	💈
843	1F3AA	🎪
transport-ground		
№	Code	Browser
844	1F682	🚂
845	1F683	🚃
846	1F684	🚄
847	1F685	🚅
848	1F686	🚆
849	1F687	🚇
850	1F688	🚈
851	1F689	🚉
852	1F68A	🚊
853	1F69D	🚝
854	1F69E	🚞
855	1F68B	🚋
856	1F68C	🚌
857	1F68D	🚍
858	1F68E	🚎
859	1F690	🚐
860	1F691	🚑
861	1F692	🚒
862	1F693	🚓
863	1F694	🚔
№	Code	Browser
864	1F695	🚕
865	1F696	🚖
866	1F697	🚗
867	1F698	🚘
868	1F699	🚙
869	1F6FB	🛻
870	1F69A	🚚
871	1F69B	🚛
872	1F69C	🚜
873	1F3CE	🏎
874	1F3CD	🏍
875	1F6F5	🛵
876	1F9BD	🦽
877	1F9BC	🦼
878	1F6FA	🛺
879	1F6B2	🚲
880	1F6F4	🛴
881	1F6F9	🛹
882	1F6FC	🛼
883	1F68F	🚏
№	Code	Browser
884	1F6E3	🛣
885	1F6E4	🛤
886	1F6E2	🛢
887	26FD	⛽
888	1F6A8	🚨
889	1F6A5	🚥
890	1F6A6	🚦
